V,I (mA),I
-0.2505,-3.38E-05,-3.38E-02
-0.2305,-2.93E-05,-2.93E-02
-0.2105,-2.56E-05,-2.56E-02
-0.1905,-2.18E-05,-2.18E-02
-0.1705,-1.88E-05,-1.88E-02
-0.1505,-1.25E-05,-1.25E-02
-0.1305,-1.01E-05,-1.01E-02
-0.1105,-8.29E-06,-8.29E-03
-0.09,-6.41E-06,-6.41E-03
-0.07,-4.77E-06,-4.77E-03
-0.05,-3.37E-06,-3.37E-03
-0.03,-2.43E-06,-2.43E-03
-0.01,-7.90E-07,-7.90E-04
0.01,5.96E-07,5.96E-04
0.03,2.24E-06,2.24E-03
0.05,3.87E-06,3.87E-03
0.07,6.45E-06,6.45E-03
0.09,9.03E-06,9.03E-03
0.1105,1.25E-05,1.25E-02
0.1305,1.70E-05,1.70E-02
0.1505,2.19E-05,2.19E-02
0.1705,2.80E-05,2.80E-02
0.1905,3.57E-05,3.57E-02
0.2105,4.83E-05,4.83E-02
0.2305,5.93E-05,5.93E-02
0.2505,7.22E-05,7.22E-02
0.2705,8.79E-05,8.79E-02
0.2905,1.10E-04,1.10E-01
0.311,1.31E-04,1.31E-01
0.331,1.56E-04,1.56E-01
0.351,1.87E-04,1.87E-01
0.371,2.19E-04,2.19E-01
0.391,2.59E-04,2.59E-01
0.411,3.03E-04,3.03E-01
0.431,3.50E-04,3.50E-01
0.451,3.99E-04,3.99E-01
0.471,4.58E-04,4.58E-01
0.491,5.22E-04,5.22E-01
0.5115,5.96E-04,5.96E-01
0.5315,6.71E-04,6.71E-01
0.5515,7.51E-04,7.51E-01
0.5715,8.42E-04,8.42E-01
0.5915,9.35E-04,9.35E-01
0.6115,0.00104,1.04
0.6315,0.00115,1.15
0.6515,0.00127,1.27
0.6715,0.00139,1.39
0.6915,0.00152,1.52
0.712,0.00166,1.66
0.732,0.00181,1.81
0.752,0.00196,1.96
0.772,0.00212,2.12
0.792,0.00229,2.29
0.812,0.00246,2.46
0.832,0.00264,2.64
0.852,0.00283,2.83
0.872,0.00302,3.02
0.892,0.00322,3.22
0.9125,0.00343,3.43
0.9325,0.00365,3.65
0.9525,0.00387,3.87
0.9725,0.00409,4.09
0.9925,0.00433,4.33
1.0125,0.00456,4.56
1.0325,0.00481,4.81
1.0525,0.00507,5.07
1.0725,0.00532,5.32
1.0925,0.00559,5.59
1.113,0.00586,5.86
1.133,0.00614,6.14
1.153,0.00642,6.42
1.173,0.00671,6.71
1.193,0.00701,7.01
1.213,0.00731,7.31
1.233,0.00761,7.61
1.253,0.00794,7.94
1.273,0.00826,8.26
1.293,0.0086,8.6
1.3135,0.00897,8.97
1.3335,0.00939,9.39
1.3535,0.00994,9.94
1.3735,0.01042,10.42
1.3935,0.01092,10.92
1.4135,0.01131,11.31
1.4335,0.01165,11.65
1.4535,0.01199,11.99
1.4735,0.01231,12.31
1.4935,0.01262,12.62
1.514,0.01295,12.95
1.534,0.01329,13.29
1.554,0.01363,13.63
1.574,0.014,14
1.594,0.0144,14.4
1.614,0.01494,14.94
1.634,0.01541,15.41
1.654,0.01583,15.83
1.674,0.01623,16.23
1.694,0.0166,16.6
1.7145,0.01696,16.96
1.7345,0.01729,17.29
1.7545,0.01764,17.64
1.7745,0.01796,17.96
1.7945,0.0183,18.3
1.8145,0.01864,18.64
1.8345,0.01897,18.97
1.8545,0.0193,19.3
